"","CVEGEO","x","y"
"1942","26045",-110.820592005392,30.029292383694
"1943","26046",-111.655300830332,30.761431252526
"1944","26047",-112.094160145995,29.9510004063552
"1945","26048",-113.2921443626,31.5293957661907
"1946","26049",-109.364843753655,27.5790256853823
"1947","26050",-110.545008453398,29.7535014023056
"1948","26051",-109.31818939904,28.0324644858444
"1949","26052",-108.99354185531,29.009435443697
"1950","26053",-110.32936468479,29.8764466196282
"1951","26054",-109.758674305292,28.609492862408
"1952","26055",-114.350652794098,32.0170185610889
"1953","26056",-110.798720588234,29.4629870761199
"1954","26057",-109.670943032029,29.2657307176026
"1955","26058",-111.058762298583,30.4515563451036
"1956","26059",-110.548868836604,31.1919990431768
"1957","26060",-111.453917857064,31.2816471718225
"1958","26061",-109.611415985039,28.7896301353569
"1959","26062",-109.886550882248,28.3916204430939
"1960","26063",-109.527920833176,29.4722261827286
"1961","26064",-111.581676321617,30.3118899217355
"1962","26065",-111.40261749502,30.9211349816171
"1963","26066",-110.329096858213,29.3420028503152
"1964","26067",-109.333812784761,30.2341197396864
"1965","26068",-109.970560899068,29.0865438626607
"1966","26069",-108.965241287609,28.4199425332168
"1967","26070",-112.907778090429,31.7199808081786
"1968","26071",-109.851476247784,27.106391591545
"1969","26072",-110.35876971376,27.3597486709729
"1970","27001",-91.3115921282753,17.8048152013604
"1971","27002",-93.6466627828688,18.1701875045759
"1972","27003",-92.5861905181947,18.3614019935275
"1973","27004",-92.8603148014397,18.0090553722948
"1974","27005",-93.336671968982,18.2869310025783
"1975","27006",-93.2206395295843,18.0765783820975
"1976","27007",-91.675706729433,17.7050331267355
"1977","27008",-93.6996013152909,17.8263014456429
"1978","27009",-92.7870413110898,17.7635765961751
"1979","27010",-93.0838901820047,18.2132675836889
"1980","27011",-92.1432855346507,18.078963488482
"1981","27012",-92.4586156023368,17.8449668778152
"1982","27013",-92.9486304086548,18.1878334427433
"1983","27014",-93.2005698731966,18.3811374005331
"1984","27015",-92.7325976602154,17.5282147405054
"1985","27016",-92.9523539694323,17.6232823033659
"1986","27017",-91.2934709883912,17.426383927726
"1987","28001",-98.2685228720135,24.133853591034
"1988","28002",-98.0357548561453,23.0021253328057
"1989","28003",-98.0823619152173,22.5419593129037
"1990","28004",-99.079717835933,22.5622534352972
"1991","28005",-98.8463931237934,24.9286234252284
"1992","28006",-99.8727576010639,23.3267781762405
"1993","28007",-98.8590948428588,26.1835903708315
"1994","28008",-98.6162442456273,23.5391868140631
"1995","28009",-97.8283957842669,22.2795163951668
"1996","28010",-98.4400447637811,24.6285235887567
"1997","28011",-99.1784449523489,23.0066849193
"1998","28012",-98.5544427852156,22.7862841560429
"1999","28013",-99.0865599056045,23.885522025424
"2000","28014",-99.4823536376338,26.9037497458471
"2001","28015",-98.6412462702014,26.1363463752888
"2002","28016",-99.3805406357423,24.1955060396686
"2003","28017",-99.4125170198827,23.4781530440947
"2004","28018",-98.5203104430942,24.2622025394183
"2005","28019",-98.8572034918691,23.2720454488851
"2006","28020",-99.5644885818624,24.5879293151163
"2007","28021",-98.8330155667123,22.571805978564
"2008","28022",-97.5329451896555,25.6120161999253
"2009","28023",-98.4402583468068,25.2237198794232
"2010","28024",-99.2568545501864,26.4150715062632
"2011","28025",-99.0674049668317,26.2385674281395
"2012","28026",-99.773890293287,23.6190856383707
"2013","28027",-99.6737348142301,27.475760047292
"2014","28028",-99.2040252094602,22.5075201342146
"2015","28029",-99.3358118075635,22.8297443917906
"2016","28030",-98.8460605727867,24.0225820198407
"2017","28031",-99.5652805222332,23.2717179355534
"2018","28032",-98.3733023232098,25.809959282806
"2019","28033",-98.0378263314258,25.7441306191848
"2020","28034",-98.9756673921116,24.4756308008213
"2021","28035",-97.9582731120086,24.8908288504504
"2022","28036",-98.7696317196551,24.6319220773693
"2023","28037",-98.0377067990658,23.7829191361458
"2024","28038",-97.9012537956603,22.2786129960441
"2025","28039",-99.7762290156926,22.9398068352607
"2026","28040",-97.8447839007457,25.7005802949638
"2027","28041",-99.1666074049065,23.6969064106248
"2028","28042",-99.3601194294868,24.5605359562927
"2029","28043",-98.9314968855604,23.0056761007633
"2030","29001",-98.18242756192,19.3620196376719
"2031","29002",-98.1946828203842,19.3514909174363
"2032","29003",-98.1829294418941,19.545057806911
"2033","29004",-97.7930093224199,19.4117389492981
"2034","29005",-98.127086572065,19.4235205091295
"2035","29006",-98.589373116666,19.56096769291
"2036","29007",-97.6743242791567,19.3357037674993
